Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
2,MF,Joseph Elanga,2 May 1979 (aged 19),NA,Tonnerre Yaoundé
3,DF,Pierre Womé,26 March 1979 (aged 19),NA,Lucchese
4,DF,Rigobert Song,1 July 1976 (aged 21),NA,Metz
5,DF,Raymond Kalla,22 April 1975 (aged 23),NA,Panachaiki
6,DF,Pierre Njanka,15 March 1975 (aged 23),NA,Olympic Mvolyé
7,FW,François Omam-Biyik (Captain),21 May 1966 (aged 32),NA,Sampdoria
8,MF,Didier Angibeaud,8 October 1974 (aged 23),NA,Nice
9,FW,Alphonse Tchami,14 September 1971 (aged 26),NA,Hertha BSC
10,FW,Patrick M'Boma,15 November 1970 (aged 27),NA,Gamba Osaka
11,FW,Samuel Eto'o,10 March 1981 (aged 17),NA,Leganés
12,DF,Lauren,19 January 1977 (aged 21),NA,Levante
13,DF,Patrice Abanda,3 August 1978 (aged 19),NA,Tonnerre Yaoundé
14,MF,Augustine Simo,18 September 1978 (aged 19),NA,Saint-Étienne
15,MF,Joseph N'Do,28 April 1976 (aged 22),NA,Cottonsport Garoua
16,GK,William Andem,14 June 1968 (aged 29),NA,Boavista
17,DF,Michel Pensée,16 June 1973 (aged 24),NA,Cheonan Ilhwa Chunma
18,FW,Samuel Ipoua,1 March 1973 (aged 25),NA,Rapid Wien
19,MF,Marcel Mahouvé,16 January 1973 (aged 25),NA,Montpellier
20,MF,Salomon Olembé,8 December 1980 (aged 17),NA,Nantes
21,FW,Joseph-Désiré Job,1 December 1977 (aged 20),NA,Lyon
22,GK,Alioum Boukar,3 January 1972 (aged 26),NA,Samsunspor
Chile
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Nelson Tapia,22 September 1966 (aged 31),34,Universidad Católica
2,DF,Cristián Castañeda,18 September 1968 (aged 29),24,Universidad de Chile
3,DF,Ronald Fuentes,22 June 1969 (aged 28),41,Universidad de Chile
4,DF,Francisco Rojas,22 July 1974 (aged 23),12,Colo-Colo
5,DF,Javier Margas,10 May 1969 (aged 29),52,Universidad Católica
6,DF,Pedro Reyes,13 November 1972 (aged 25),24,Colo-Colo
7,MF,Nelson Parraguez,5 April 1971 (aged 27),37,Universidad Católica
8,MF,Clarence Acuña,8 February 1975 (aged 23),28,Universidad de Chile
9,FW,Iván Zamorano (Captain),18 January 1967 (aged 31),42,Inter Milan
10,MF,José Luis Sierra,5 December 1968 (aged 29),31,Colo-Colo
11,FW,Marcelo Salas,24 December 1974 (aged 23),39,River Plate
12,GK,Marcelo Ramírez,29 May 1965 (aged 33),19,Colo-Colo
13,FW,Manuel Neira,12 October 1977 (aged 20),5,Colo-Colo
14,DF,Miguel Ramírez,11 June 1970 (aged 27),38,Universidad Católica
15,DF,Moisés Villarroel,12 February 1976 (aged 22),10,Santiago Wanderers
16,DF,Mauricio Aros,9 March 1976 (aged 22),4,Universidad de Chile
17,MF,Marcelo Vega,12 August 1971 (aged 26),29,MetroStars
18,MF,Luis Musrri,24 December 1968 (aged 29),27,Universidad de Chile
19,MF,Fernando Cornejo,28 January 1969 (aged 29),27,Cobreloa
20,MF,Fabián Estay,5 October 1968 (aged 29),48,Toluca
21,FW,Rodrigo Barrera,30 March 1970 (aged 28),22,Universidad de Chile
22,GK,Carlos Tejas,4 October 1974 (aged 23),0,Coquimbo Unido
Italy
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Francesco Toldo,2 December 1971 (aged 26),6,Fiorentina
2,DF,Giuseppe Bergomi,22 December 1963 (aged 34),78,Inter Milan
3,DF,Paolo Maldini (Captain),26 June 1968 (aged 29),88,Milan
4,DF,Fabio Cannavaro,13 September 1973 (aged 24),14,Parma
5,DF,Alessandro Costacurta,24 April 1966 (aged 32),54,Milan
6,DF,Alessandro Nesta,19 March 1976 (aged 22),12,Lazio
7,DF,Gianluca Pessotto,11 August 1970 (aged 27),4,Juventus
8,DF,Moreno Torricelli,23 January 1970 (aged 28),6,Juventus
9,MF,Demetrio Albertini,23 August 1971 (aged 26),57,Milan
10,FW,Alessandro Del Piero,9 November 1974 (aged 23),19,Juventus
11,MF,Dino Baggio,24 July 1971 (aged 26),46,Parma
12,GK,Gianluca Pagliuca,18 December 1966 (aged 31),34,Inter Milan
13,MF,Sandro Cois,9 June 1972 (aged 26),1,Fiorentina
14,MF,Luigi Di Biagio,3 June 1971 (aged 27),13,Roma
15,MF,Angelo Di Livio,26 July 1966 (aged 31),21,Juventus
16,MF,Roberto Di Matteo,29 May 1970 (aged 28),32,Chelsea
17,MF,Francesco Moriero,31 March 1969 (aged 29),3,Inter Milan
18,FW,Roberto Baggio,18 February 1967 (aged 31),48,Bologna
19,FW,Filippo Inzaghi,9 August 1973 (aged 24),4,Juventus
20,FW,Enrico Chiesa,29 December 1970 (aged 27),6,Parma
21,FW,Christian Vieri,12 July 1973 (aged 24),8,Atlético Madrid
22,GK,Gianluigi Buffon,28 January 1978 (aged 20),2,Parma
Denmark
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Peter Schmeichel,18 November 1963 (aged 34),100,Manchester United
2,DF,Michael Schjønberg,19 January 1967 (aged 31),28,1. FC Kaiserslautern
3,DF,Marc Rieper,5 June 1968 (aged 30),53,Celtic
4,DF,Jes Høgh,7 May 1966 (aged 32),37,Fenerbahçe
5,DF,Jan Heintze,17 August 1963 (aged 34),39,Bayer Leverkusen
6,DF,Thomas Helveg,24 June 1971 (aged 26),30,Udinese
7,MF,Allan Nielsen,13 March 1971 (aged 27),18,Tottenham Hotspur
8,MF,Per Frandsen,6 February 1970 (aged 28),12,Bolton Wanderers
9,FW,Miklos Molnar,10 April 1970 (aged 28),9,Sevilla
10,MF,Michael Laudrup (Captain),15 June 1964 (aged 33),99,Ajax
11,FW,Brian Laudrup,22 February 1969 (aged 29),77,Rangers
12,DF,Søren Colding,2 September 1972 (aged 25),4,Brøndby
13,DF,Jacob Laursen,6 October 1971 (aged 26),22,Derby County
14,MF,Morten Wieghorst,25 February 1971 (aged 27),11,Celtic
15,MF,Stig Tøfting,14 August 1969 (aged 28),4,MSV Duisburg
16,GK,Mogens Krogh,31 October 1963 (aged 34),8,Brøndby
17,MF,Bjarne Goldbæk,6 October 1968 (aged 29),11,Copenhagen
18,FW,Peter Møller,23 March 1972 (aged 26),11,PSV
19,FW,Ebbe Sand,19 July 1972 (aged 25),2,Brøndby
20,DF,René Henriksen,27 August 1969 (aged 28),2,Akademisk
21,MF,Martin Jørgensen,6 October 1975 (aged 22),4,Udinese
22,GK,Peter Kjær,5 November 1965 (aged 32),0,Silkeborg
France
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Bernard Lama,7 April 1963 (aged 35),37,Paris Saint-Germain
2,DF,Vincent Candela,24 October 1973 (aged 24),10,Roma
3,DF,Bixente Lizarazu,9 December 1969 (aged 28),32,Bayern Munich
4,MF,Patrick Vieira,23 June 1976 (aged 21),7,Arsenal
5,DF,Laurent Blanc,19 November 1965 (aged 32),68,Marseille
6,MF,Youri Djorkaeff,9 March 1968 (aged 30),37,Inter Milan
7,MF,Didier Deschamps (Captain),15 October 1968 (aged 29),69,Juventus
8,DF,Marcel Desailly,7 September 1968 (aged 29),41,Milan
9,FW,Stéphane Guivarc'h,6 September 1970 (aged 27),6,Auxerre
10,MF,Zinedine Zidane,23 June 1972 (aged 25),33,Juventus
11,MF,Robert Pirès,29 October 1973 (aged 24),13,Metz
12,FW,Thierry Henry,17 August 1977 (aged 20),3,Monaco
13,MF,Bernard Diomède,23 January 1974 (aged 24),6,Auxerre
14,MF,Alain Boghossian,27 October 1970 (aged 27),6,Sampdoria
15,DF,Lilian Thuram,1 January 1972 (aged 26),32,Parma
16,GK,Fabien Barthez,28 June 1971 (aged 26),12,Monaco
17,MF,Emmanuel Petit,22 September 1970 (aged 27),17,Arsenal
18,DF,Frank Lebœuf,22 January 1968 (aged 30),13,Chelsea
19,MF,Christian Karembeu,3 December 1970 (aged 27),31,Real Madrid
20,FW,David Trezeguet,15 October 1977 (aged 20),4,Monaco
21,FW,Christophe Dugarry,24 March 1972 (aged 26),23,Marseille
22,GK,Lionel Charbonnier,25 October 1966 (aged 31),1,Auxerre
Saudi Arabia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Mohamed Al-Deayea,2 August 1972 (aged 25),94,Al-Ta'ee
2,DF,Mohammed Al-Jahani,28 September 1974 (aged 23),64,Al-Ahli
3,DF,Mohammed Al-Khilaiwi,1 September 1971 (aged 26),86,Al-Ittihad
4,MF,Abdullah Zubromawi,15 November 1973 (aged 24),83,Al-Ahli
5,DF,Ahmad Jamil Madani,6 January 1970 (aged 28),94,Al-Ittihad
6,MF,Fuad Anwar,13 October 1972 (aged 25),95,Al-Shabab
7,FW,Ibrahim Al-Shahrani,21 July 1974 (aged 23),19,Al-Ahli
8,FW,Obeid Al-Dosari,2 October 1975 (aged 22),61,Al-Wehda
9,FW,Sami Al-Jaber,11 December 1972 (aged 25),85,Al-Hilal
10,FW,Saeed Al-Owairan,19 August 1967 (aged 30),55,Al-Shabab
11,FW,Fahad Al-Mehallel,11 November 1970 (aged 27),85,Al-Shabab
12,MF,Ibrahim Al-Harbi,10 July 1975 (aged 22),47,Al-Nasr
13,DF,Hussein Sulaimani,23 January 1977 (aged 21),40,Al-Ahli
14,MF,Khalid Al-Muwallid,23 November 1971 (aged 26),91,Al-Ahli
15,MF,Yousuf Al-Thunayan (Captain),18 November 1963 (aged 34),86,Al-Hilal
16,MF,Khamis Al-Dosari,8 September 1973 (aged 24),48,Al-Hilal
17,DF,Ahmed Dokhi,25 October 1976 (aged 21),12,Al-Hilal
18,MF,Nawaf Al-Temyat,26 June 1976 (aged 21),0,Al-Hilal
19,DF,Abdulaziz Al-Janoubi,21 July 1974 (aged 23),3,Al-Nasr
20,MF,Hamzah Saleh,19 April 1967 (aged 31),38,Al-Ahli
21,GK,Hussein Al-Sadiq,15 October 1973 (aged 24),64,Al-Qadisiya
22,GK,Tisir Al-Antaif,16 February 1974 (aged 24),0,Al-Ittifaq
South Africa
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Hans Vonk,30 January 1970 (aged 28),0,Heerenveen
2,DF,Themba Mnguni,16 December 1973 (aged 24),3,Mamelodi Sundowns
3,DF,David Nyathi,22 March 1969 (aged 29),35,St. Gallen
4,DF,Willem Jackson,26 March 1972 (aged 26),12,Orlando Pirates
5,DF,Mark Fish,14 March 1974 (aged 24),37,Bolton Wanderers
6,FW,Phil Masinga,28 June 1969 (aged 28),41,Bari
7,MF,Quinton Fortune,21 May 1977 (aged 21),6,Atlético Madrid
8,MF,Alfred Phiri,22 June 1974 (aged 23),2,Vanspor
9,FW,Shaun Bartlett,31 October 1972 (aged 25),29,Cape Town Spurs
10,MF,John Moshoeu,18 December 1965 (aged 32),44,Fenerbahçe
11,MF,Helman Mkhalele,20 October 1969 (aged 28),35,Kayserispor
12,FW,Brendan Augustine,26 October 1971 (aged 26),26,LASK Linz
13,FW,Delron Buckley,7 December 1977 (aged 20),0,VfL Bochum
14,FW,Jerry Sikhosana,8 June 1969 (aged 29),9,Orlando Pirates
15,MF,Doctor Khumalo,26 June 1967 (aged 30),43,Kaizer Chiefs
16,GK,Brian Baloyi,16 March 1974 (aged 24),8,Kaizer Chiefs
17,FW,Benni McCarthy,12 November 1977 (aged 20),10,Ajax
18,MF,Lebohang Morula,22 December 1968 (aged 29),0,Vanspor
19,DF,Lucas Radebe (Captain),12 April 1969 (aged 29),41,Leeds United
20,MF,William Mokoena,31 March 1975 (aged 23),0,Manning Rangers
21,DF,Pierre Issa,12 September 1975 (aged 22),1,Marseille
22,GK,Paul Evans*,28 December 1973 (aged 24),0,Supersport United
Bulgaria
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Zdravko Zdravkov,4 October 1970 (aged 27),16,Istanbulspor
2,DF,Radostin Kishishev,30 July 1974 (aged 23),22,Litex Lovech
3,DF,Trifon Ivanov (Captain),27 July 1965 (aged 32),72,CSKA Sofia
4,DF,Ivaylo Petkov,24 March 1976 (aged 22),10,Litex Lovech
5,MF,Ivaylo Yordanov,22 April 1968 (aged 30),38,Sporting CP
6,MF,Zlatko Yankov,7 June 1966 (aged 32),67,Beşiktaş
7,FW,Emil Kostadinov,12 August 1967 (aged 30),67,CSKA Sofia
8,FW,Hristo Stoichkov,8 February 1966 (aged 32),70,CSKA Sofia
9,FW,Lyuboslav Penev,31 August 1966 (aged 31),58,Compostela
10,MF,Krasimir Balakov,29 March 1966 (aged 32),66,VfB Stuttgart
11,MF,Ilian Iliev,2 July 1968 (aged 29),15,Bursaspor
12,GK,Borislav Mihaylov,12 February 1963 (aged 35),96,Slavia Sofia
13,DF,Gosho Ginchev,2 December 1969 (aged 28),15,Antalyaspor
14,MF,Marian Hristov,29 July 1973 (aged 24),9,1. FC Kaiserslautern
15,DF,Adalbert Zafirov,29 September 1969 (aged 28),6,Arminia Bielefeld
16,MF,Anatoli Nankov,15 July 1969 (aged 28),15,Lokomotiv Sofia
17,MF,Stoycho Stoilov,15 October 1971 (aged 26),1,Litex Lovech
18,MF,Daniel Borimirov,15 January 1970 (aged 28),36,1860 Munich
19,FW,Georgi Bachev,18 April 1977 (aged 21),4,Slavia Sofia
20,FW,Georgi Ivanov,2 July 1976 (aged 21),4,Levski Sofia
21,DF,Rosen Kirilov,4 January 1973 (aged 25),3,Litex Lovech
22,MF,Milen Petkov,12 January 1974 (aged 24),5,CSKA Sofia
Nigeria
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Peter Rufai,24 August 1963 (aged 34),45,Deportivo La Coruña
2,DF,Mobi Oparaku,1 December 1976 (aged 21),3,Kapellen
3,DF,Celestine Babayaro,29 August 1978 (aged 19),6,Chelsea
4,FW,Nwankwo Kanu,1 August 1976 (aged 21),7,Inter Milan
5,DF,Uche Okechukwu (Captain),27 September 1967 (aged 30),41,Fenerbahçe
6,DF,Taribo West,26 March 1974 (aged 24),8,Inter Milan
7,MF,Finidi George,15 April 1971 (aged 27),36,Real Betis
8,MF,Mutiu Adepoju,22 December 1970 (aged 27),35,Real Sociedad
9,FW,Rashidi Yekini,23 October 1963 (aged 34),63,Zürich
10,MF,Jay-Jay Okocha,14 August 1973 (aged 24),26,Fenerbahçe
11,MF,Garba Lawal,22 May 1974 (aged 24),3,Roda JC
12,GK,William Okpara,7 May 1968 (aged 30),5,Orlando Pirates
13,MF,Tijjani Babangida,25 September 1973 (aged 24),4,Ajax
14,FW,Daniel Amokachi,30 December 1972 (aged 25),43,Beşiktaş
15,MF,Sunday Oliseh,14 September 1974 (aged 23),22,Ajax
16,DF,Uche Okafor,8 August 1967 (aged 30),33,Kansas City Wizards
17,DF,Augustine Eguavoen,19 August 1965 (aged 32),52,Torpedo Moscow
18,MF,Wilson Oruma,30 December 1976 (aged 21),4,Lens
19,DF,Benedict Iroha,29 November 1969 (aged 28),33,Elche
20,FW,Victor Ikpeba,12 June 1973 (aged 24),15,Monaco
21,DF,Godwin Okpara,20 September 1972 (aged 25),6,Strasbourg
22,GK,Abiodun Baruwa,16 November 1974 (aged 23),3,Sion
Paraguay
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,José Luis Chilavert (Captain),27 July 1965 (aged 32),40,Vélez Sársfield
2,DF,Francisco Arce,2 April 1971 (aged 27),28,Palmeiras
3,DF,Catalino Rivarola,30 April 1965 (aged 33),49,Grêmio
4,DF,Carlos Gamarra,17 February 1971 (aged 27),48,Corinthians
5,DF,Celso Ayala,20 August 1970 (aged 27),42,River Plate
6,DF,Edgar Aguilera,28 July 1975 (aged 22),1,Cerro Corá
7,MF,Julio César Yegros,31 January 1971 (aged 27),6,Cruz Azul
8,FW,Arístides Rojas,12 August 1968 (aged 29),5,Unión de Santa Fe
9,FW,José Cardozo,19 March 1971 (aged 27),12,Toluca
10,MF,Roberto Acuña,25 March 1972 (aged 26),40,Real Zaragoza
11,DF,Pedro Sarabia,5 July 1975 (aged 22),20,River Plate
12,GK,Danilo Aceval,15 September 1975 (aged 22),3,Unión de Santa Fe
13,MF,Carlos Paredes,16 July 1976 (aged 21),3,Olimpia
14,DF,Ricardo Rojas,26 January 1971 (aged 27),6,Estudiantes La Plata
15,FW,Miguel Ángel Benítez,19 May 1970 (aged 28),32,Espanyol
16,MF,Julio César Enciso,5 August 1974 (aged 23),4,Internacional
17,FW,Hugo Brizuela,8 February 1970 (aged 28),11,Argentinos Juniors
18,FW,César Ramírez,21 March 1977 (aged 21),3,Sporting CP
19,MF,Carlos Morales,4 November 1968 (aged 29),0,Gimnasia de Jujuy
20,DF,Denis Caniza,29 August 1974 (aged 23),8,Olimpia
21,MF,Jorge Luis Campos,11 August 1970 (aged 27),10,Beijing Guo'an
22,GK,Rubén Ruiz Díaz,11 November 1969 (aged 28),12,Monterrey
Spain
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Andoni Zubizarreta (Captain),23 October 1961 (aged 36),123,Valencia
2,DF,Albert Ferrer,6 June 1970 (aged 28),34,Barcelona
3,DF,Agustín Aranzábal,15 March 1973 (aged 25),6,Real Sociedad
4,DF,Rafael Alkorta,16 September 1968 (aged 29),48,Athletic Bilbao
5,DF,Abelardo,19 March 1970 (aged 28),40,Barcelona
6,DF,Fernando Hierro,23 March 1968 (aged 30),55,Real Madrid
7,FW,Fernando Morientes,5 April 1976 (aged 22),2,Real Madrid
8,MF,Julen Guerrero,7 January 1974 (aged 24),31,Athletic Bilbao
9,FW,Juan Antonio Pizzi,7 June 1968 (aged 30),21,Barcelona
10,FW,Raúl,27 June 1977 (aged 20),13,Real Madrid
11,FW,Alfonso,26 September 1972 (aged 25),26,Real Betis
12,DF,Sergi,28 December 1971 (aged 26),33,Barcelona
13,GK,Santiago Cañizares,18 December 1969 (aged 28),10,Real Madrid
14,DF,Iván Campo,21 February 1974 (aged 24),2,Mallorca
15,DF,Carlos Aguilera,22 May 1969 (aged 29),4,Atlético Madrid
16,MF,Albert Celades,29 September 1975 (aged 22),1,Barcelona
17,MF,Joseba Etxeberria,5 September 1977 (aged 20),4,Athletic Bilbao
18,MF,Guillermo Amor,4 December 1967 (aged 30),33,Barcelona
19,FW,Kiko,26 April 1972 (aged 26),21,Atlético Madrid
20,DF,Miguel Ángel Nadal,28 July 1966 (aged 31),43,Barcelona
21,MF,Luis Enrique,8 May 1970 (aged 28),35,Barcelona
22,GK,José Molina,8 August 1970 (aged 27),1,Atlético Madrid
Belgium
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Filip De Wilde,5 July 1964 (aged 33),25,Anderlecht
2,DF,Bertrand Crasson,5 October 1971 (aged 26),19,Napoli
3,DF,Lorenzo Staelens,30 April 1964 (aged 34),52,Club Brugge
4,DF,Gordan Vidović,23 June 1968 (aged 29),11,Mouscron
5,DF,Vital Borkelmans,1 June 1963 (aged 35),22,Club Brugge
6,MF,Franky Van Der Elst (Captain),30 April 1961 (aged 37),86,Club Brugge
7,MF,Marc Wilmots,22 February 1969 (aged 29),37,Schalke 04
8,FW,Luis Oliveira,24 March 1969 (aged 29),29,Fiorentina
9,FW,Mbo Mpenza,4 December 1976 (aged 21),8,Standard Liège
10,FW,Luc Nilis,25 May 1967 (aged 31),51,PSV
11,MF,Nico Van Kerckhoven,14 December 1970 (aged 27),17,Lierse
12,GK,Philippe Vande Walle,22 December 1961 (aged 36),4,Eendracht Aalst
