Germany
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Sepp Maier,28 February 1944 (aged 30),50,Bayern Munich
2,DF,Berti Vogts,30 December 1946 (aged 27),24,Borussia Mönchengladbach
3,DF,Paul Breitner,5 September 1951 (aged 22),19,Bayern Munich
4,DF,Hans-Georg Schwarzenbeck,3 April 1948 (aged 26),23,Bayern Munich
5,DF,Franz Beckenbauer (c),11 September 1945 (aged 28),78,Bayern Munich
6,DF,Horst-Dieter Höttges,10 September 1943 (aged 30),65,Werder Bremen
7,MF,Herbert Wimmer,9 November 1944 (aged 29),23,Borussia Mönchengladbach
8,MF,Bernhard Cullmann,1 November 1949 (aged 24),12,FC Köln
9,FW,Jürgen Grabowski,7 July 1944 (aged 29),38,Eintracht Frankfurt
10,MF,Günter Netzer,14 September 1944 (aged 29),34,Real Madrid
11,FW,Jupp Heynckes,9 May 1945 (aged 29),28,Borussia Mönchengladbach
12,MF,Wolfgang Overath,29 September 1943 (aged 30),74,FC Köln
13,FW,Gerd Müller,3 November 1945 (aged 28),55,Bayern Munich
14,FW,Uli Hoeneß,5 January 1952 (aged 22),23,Bayern Munich
15,MF,Heinz Flohe,28 January 1948 (aged 26),14,FC Köln
16,MF,Rainer Bonhof,29 March 1952 (aged 22),4,Borussia Mönchengladbach
17,FW,Bernd Hölzenbein,9 March 1946 (aged 28),4,Eintracht Frankfurt
18,MF,Dieter Herzog,15 July 1946 (aged 27),2,Fortuna Düsseldorf
19,DF,Jupp Kapellmann,19 December 1949 (aged 24),3,Bayern Munich
20,DF,Helmut Kremers,24 March 1949 (aged 25),5,Schalke 04
21,GK,Norbert Nigbur,8 May 1948 (aged 26),2,Schalke 04
22,GK,Wolfgang Kleff,16 November 1946 (aged 27),6,Borussia Mönchengladbach
East Germany
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Jürgen Croy,19 October 1946 (aged 27),43,Sachsenring Zwickau
2,DF,Lothar Kurbjuweit,6 November 1950 (aged 23),30,Carl Zeiss Jena
3,DF,Bernd Bransch (c),24 September 1944 (aged 29),52,Carl Zeiss Jena
4,DF,Konrad Weise,17 August 1951 (aged 22),23,Carl Zeiss Jena
