Argentina
No.,Pos.,Player,Date of birth (age),Caps,Club
11,MF,Julio Cardeñosa,27 October 1949 (aged 28),,Real Betis
12,MF,Antonio Guzmán,2 December 1953 (aged 24),,Rayo Vallecano
13,GK,Miguel Ángel,24 December 1947 (aged 30),,Real Madrid
14,MF,Eugenio Leal,13 May 1953 (aged 25),,Atlético Madrid
15,FW,Marañón,23 July 1948 (aged 29),,Español
16,DF,Antonio Olmo,18 January 1954 (aged 24),,Barcelona
17,DF,Marcelino,13 August 1955 (aged 22),,Atlético Madrid
18,DF,Pirri (c),11 March 1945 (aged 33),,Real Madrid
19,FW,Carles Rexach,13 January 1947 (aged 31),,Barcelona
20,FW,Rubén Cano,5 February 1951 (aged 27),,Atlético Madrid
21,MF,Isidoro San José,27 October 1956 (aged 21),,Real Madrid
22,GK,Urruti,17 February 1952 (aged 26),,Español
Sweden
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ronnie Hellström,21 February 1949 (aged 29),,1. FC Kaiserslautern
2,DF,Hasse Borg,4 August 1953 (aged 24),,Eintracht Braunschweig
3,DF,Roy Andersson,2 August 1949 (aged 28),,Malmö FF
4,MF,Björn Nordqvist (c),6 October 1942 (aged 35),,IFK Göteborg
5,DF,Ingemar Erlandsson,16 November 1957 (aged 20),,Malmö FF
6,MF,Staffan Tapper,10 July 1948 (aged 29),,Malmö FF
7,MF,Anders Linderoth,21 March 1950 (aged 28),,Marseille
8,FW,Bo Larsson,5 May 1944 (aged 34),,Malmö FF
9,MF,Lennart Larsson,9 July 1953 (aged 24),,Schalke 04
10,FW,Thomas Sjöberg,6 July 1952 (aged 25),,Malmö FF
11,FW,Benny Wendt,4 November 1950 (aged 27),,1. FC Kaiserslautern
12,GK,Göran Hagberg,8 November 1947 (aged 30),,Östers IF
13,DF,Magnus Andersson,23 April 1958 (aged 20),,Malmö FF
14,MF,Ronald Ahman,31 January 1957 (aged 21),,Örebro SK
15,FW,Torbjörn Nilsson,9 July 1954 (aged 23),,IFK Göteborg
16,FW,Conny Torstensson,28 August 1949 (aged 28),,Zürich
17,GK,Jan Möller,17 September 1953 (aged 24),,Malmö FF
