England
No.,Pos.,Player,Date of birth (age),Caps,Club
20,DF,Alberto Valentini,25 November 1938 (aged 27),17,Colo-Colo
21,DF,Hugo Villanueva,9 April 1939 (aged 27),15,Universidad de Chile
22,FW,Guillermo Yávar,26 March 1943 (aged 23),11,Universidad de Chile
Italy
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Enrico Albertosi,2 November 1939 (aged 26),10,Fiorentina
2,GK,Roberto Anzolin,18 April 1938 (aged 28),1,Juventus
3,MF,Paolo Barison,23 June 1936 (aged 30),7,Roma
4,MF,Giacomo Bulgarelli,24 October 1940 (aged 25),24,Bologna
5,DF,Tarcisio Burgnich,25 April 1939 (aged 27),12,Internazionale
6,DF,Giacinto Facchetti,18 July 1942 (aged 23),21,Internazionale
7,MF,Romano Fogli,21 January 1938 (aged 28),11,Bologna
8,DF,Aristide Guarneri,7 March 1938 (aged 28),12,Internazionale
9,DF,Francesco Janich,27 March 1937 (aged 29),5,Bologna
10,FW,Antonio Juliano,1 January 1943 (aged 23),1,Napoli
11,DF,Spartaco Landini,31 January 1944 (aged 22),1,Internazionale
12,MF,Gianfranco Leoncini,25 September 1939 (aged 26),1,Juventus
13,MF,Giovanni Lodetti,10 August 1942 (aged 23),12,Milan
14,FW,Sandro Mazzola,8 November 1942 (aged 23),19,Internazionale
15,FW,Luigi Meroni,24 February 1943 (aged 23),5,Torino
16,FW,Ezio Pascutti,1 June 1937 (aged 29),15,Bologna
17,MF,Marino Perani,27 October 1939 (aged 26),2,Bologna
18,GK,Pierluigi Pizzaballa,14 September 1939 (aged 26),1,Atalanta
19,FW,Gianni Rivera,18 August 1943 (aged 22),23,Milan
20,FW,Francesco Rizzo,30 May 1943 (aged 23),2,Cagliari
21,DF,Roberto Rosato,18 August 1943 (aged 22),12,Torino
22,DF,Sandro Salvadore (captain),29 November 1939 (aged 26),27,Juventus
North Korea
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Lee Chang-myung,2 January 1947 (aged 19),,Kigwancha
2,DF,Pak Li-sup,6 January 1944 (aged 22),,Amrokgang
3,DF,Shin Yung-kyoo,30 March 1942 (aged 24),,Moranbong
4,MF,Kang Bong-chil,7 November 1943 (aged 22),,8-Feb
5,DF,Lim Zoong-sun,16 July 1943 (aged 22),,Moranbong
6,MF,Im Seung-hwi,3 February 1946 (aged 20),,8-Feb
7,FW,Pak Doo-ik,17 March 1942 (aged 24),,Moranbong
8,FW,Pak Seung-zin (captain),11 January 1941 (aged 25),,Moranbong
9,GK,Lee Keun-hak,7 July 1940 (aged 26),,Moranbong
10,FW,Kang Ryong-woon,25 April 1942 (aged 24),,Rodongja
11,MF,Han Bong-zin,2 September 1945 (aged 20),,8-Feb
12,FW,Kim Seung-Il,2 September 1945 (aged 20),,Moranbong
13,DF,Oh Yoon-kyung,6 August 1941 (aged 24),,8-Aug
14,DF,Ha Jung-won,20 April 1942 (aged 24),,8-Aug
15,FW,Yang Seung-kook,19 August 1944 (aged 21),,Kigwancha
16,MF,Li Dong-woon,4 July 1945 (aged 21),,Rodongja
17,MF,Kim Bong-hwan,4 July 1939 (aged 27),,Kigwancha
18,MF,Ke Seung-woon,26 December 1943 (aged 22),,Rodongja
19,DF,Kim Yung-kil,29 January 1944 (aged 22),,Rodongja
20,DF,Ryoo Chang-kil,5 November 1940 (aged 25),,Kigwancha
21,MF,An Se-bok,29 October 1946 (aged 19),,Amrokgang
22,FW,Li Chi-an,7 July 1945 (aged 21),,8-Feb
Russia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Lev Yashin,22 October 1929 (aged 36),63,Dynamo Moscow
2,FW,Viktor Serebryanikov,29 March 1940 (aged 26),7,Dynamo Kyiv
3,DF,Leonid Ostrovskiy,17 January 1936 (aged 30),7,Dynamo Kyiv
4,DF,Vladimir Ponomaryov,18 February 1940 (aged 26),16,CSKA Moscow
5,MF,Valentin Afonin,22 December 1939 (aged 26),10,SKA Rostov
6,DF,Albert Shesternyov (captain),20 June 1941 (aged 25),28,CSKA Moscow
7,MF,Murtaz Khurtsilava,5 January 1943 (aged 23),5,Dinamo Tbilisi
8,MF,Yozhef Sabo,29 February 1940 (aged 26),10,Dynamo Kyiv
9,DF,Viktor Getmanov,4 May 1940 (aged 26),5,SKA Rostov
10,DF,Vasiliy Danilov,13 May 1941 (aged 25),13,Zenit Leningrad
11,MF,Igor Chislenko,4 January 1939 (aged 27),26,Dynamo Moscow
12,MF,Valery Voronin,17 July 1939 (aged 26),46,Torpedo Moscow
13,DF,Alexey Korneyev,6 February 1939 (aged 27),4,Spartak Moscow
14,MF,Georgi Sichinava,15 September 1944 (aged 21),5,Dinamo Tbilisi
15,FW,Galimzyan Khusainov,27 June 1937 (aged 29),26,Spartak Moscow
16,FW,Slava Metreveli,30 May 1936 (aged 30),42,Dinamo Tbilisi
17,FW,Valeriy Porkujan,4 October 1944 (aged 21),0,Dynamo Kyiv
18,FW,Anatoliy Banishevskiy,23 February 1946 (aged 20),13,Neftyanik Baku
19,FW,Eduard Malofeyev,2 June 1942 (aged 24),15,Dinamo Minsk
20,FW,Eduard Markarov,20 June 1942 (aged 24),1,Neftyanik Baku
21,GK,Anzor Kavazashvili,19 July 1940 (aged 25),9,Torpedo Moscow
22,GK,Viktor Bannikov,28 April 1938 (aged 28),7,Dynamo Kyiv
