Italy
*,GK,Fritz Buchloh,26 November 1909 (aged 24),5,VfB Speldorf
-,DF,Willy Busch,4 January 1907 (aged 27),2,TuS Duisburg
-,FW,Edmund Conen,10 November 1914 (aged 19),1,FV Saarbrücken
*,FW,Franz Dienert,1 January 1900 (aged 34),0,VfB Mühlburg
-,MF,Rudolf Gramlich,6 June 1908 (aged 25),7,Eintracht Frankfurt
-,DF,Sigmund Haringer,9 December 1908 (aged 25),8,Bayern Munich
-,FW,Matthias Heidemann,7 February 1912 (aged 22),1,Werder Bremen
-,MF,Karl Hohmann,18 June 1908 (aged 25),8,VfL Benrath
-,GK,Hans Jakob,16 June 1908 (aged 25),8,Jahn Regensburg
-,DF,Paul Janes,10 March 1912 (aged 22),5,Fortuna Düsseldorf
-,FW,Stanislaus Kobierski,15 November 1910 (aged 23),12,Fortuna Düsseldorf
-,GK,Willibald Kreß,13 November 1906 (aged 27),13,Dresdner SC
-,FW,Ernst Lehner,7 November 1912 (aged 21),3,TSV Schwaben Augsburg
-,DF,Reinhold Münzenberg,25 January 1909 (aged 25),4,Alemannia Aachen
-,FW,Rudolf Noack,20 March 1913 (aged 21),1,SV Hamburg
-,DF,Hans Schwartz,1 March 1913 (aged 21),0,Viktoria Hamburg
-,FW,Otto Siffling,3 August 1912 (aged 21),0,Waldhof Mannheim
*,FW,Josef Streb,16 April 1912 (aged 22),0,Wacker München
-,FW,Fritz Szepan (c),2 September 1907 (aged 26),4,Schalke 04
-,MF,Paul Zielinski,20 November 1911 (aged 22),0,Union Hamborn
Austria
No.,Pos.,Player,Date of birth (age),Caps,Club
-,FW,Josef Bican,25 September 1913 (aged 20),6,Rapid Wien
-,FW,Georg Braun,22 February 1907 (aged 27),6,Wiener AC
-,DF,Franz Cisar,28 November 1908 (aged 25),5,Wiener AC
-,GK,Friederich Franzl,6 March 1905 (aged 29),13,Wiener SC
-,FW,Josef Hassmann,21 May 1910 (aged 24),0,First Vienna
-,MF,Leopold Hofmann,31 October 1905 (aged 28),19,First Vienna
-,FW,Johann Horvath,20 May 1903 (aged 31),41,First Vienna
-,DF,Anton Janda,1 May 1904 (aged 30),9,Admira Wien
,FW,Matthias Kaburek,9 February 1911 (aged 23),2,Rapid Wien
-,GK,Peter Platzer,29 May 1910 (aged 23),10,Admira Wien
-,GK,Rudolf Raftl,7 February 1911 (aged 23),1,Rapid Wien
-,FW,Anton Schall,22 June 1907 (aged 26),26,Admira Wien
-,DF,Willibald Schmaus,16 June 1911 (aged 22),0,First Vienna
-,DF,Karl Sesta,18 March 1906 (aged 28),16,Wiener AC
-,FW,Matthias Sindelar,10 February 1903 (aged 31),29,Austria Wien
-,MF,Josef Smistik (c),28 November 1905 (aged 28),28,Rapid Wien
-,FW,Josef Stroh,5 March 1913 (aged 21),0,Austria Wien
-,MF,Johann Urbanek,10 October 1910 (aged 23),0,Admira Wien
-,FW,Rudolf Viertl,12 November 1902 (aged 31),9,Austria Wien
-,MF,Franz Wagner,23 September 1911 (aged 22),7,Rapid Wien
-,FW,Hans Walzhofer,23 March 1906 (aged 28),4,Wacker Wien
-,FW,Karl Zischek,28 August 1910 (aged 23),20,Wacker Wien
Spain
No.,Pos.,Player,Date of birth (age),Caps,Club
-,MF,Crisant Bosch,26 December 1907 (aged 26),7,Espanyol
-,FW,Campanal,9 February 1912 (aged 22),0,Sevilla
-,FW,Chacho,14 April 1911 (aged 23),2,Deportivo La Coruña
-,MF,Leonardo Cilaurren,5 November 1912 (aged 21),8,Athletic Bilbao
-,DF,Ciriaco,8 August 1904 (aged 29),11,Real Madrid
-,MF,Fede,14 October 1912 (aged 21),2,Sevilla
-,FW,Guillermo Gorostiza,15 February 1909 (aged 25),9,Athletic Bilbao
-,MF,Hilario,8 December 1905 (aged 28),1,Real Madrid
-,FW,José Iraragorri,16 March 1912 (aged 22),1,Athletic Bilbao
-,FW,Lafuente,31 December 1907 (aged 26),5,Athletic Bilbao
-,FW,Isidro Lángara,25 May 1912 (aged 22),3,Real Oviedo
-,MF,Simón Lecue,11 February 1912 (aged 22),0,Real Betis
-,MF,Martín Marculeta,24 September 1907 (aged 26),13,Real Sociedad
-,FW,Luis Marín,4 September 1906 (aged 27),0,Atlético Madrid
-,MF,José Muguerza,15 September 1911 (aged 22),1,Athletic Bilbao
-,GK,Juan José Nogués,28 March 1909 (aged 25),0,Barcelona
-,DF,Jacinto Quincoces,17 July 1905 (aged 28),19,Real Madrid
-,FW,Luis Regueiro,1 July 1908 (aged 25),16,Real Madrid
-,MF,Pedro Solé,7 May 1905 (aged 29),3,Espanyol
-,MF,Martí Ventolrà,16 December 1906 (aged 27),5,Barcelona
-,DF,Ramón Zabalo,10 June 1910 (aged 23),5,Barcelona
-,GK,Ricardo Zamora,21 January 1901 (aged 33),42,Real Madrid
Hungary
No.,Pos.,Player,Date of birth (age),Caps,Club
-,FW,István Avar,30 May 1905 (aged 28),17,Újpest
-,DF,Sándor Bíró,19 August 1911 (aged 22),13,Hungária
-,MF,János Dudás,13 February 1913 (aged 21),0,Hungária
-,DF,Gyula Futó,29 December 1908 (aged 25),0,Újpest
-,GK,József Háda,2 March 1911 (aged 23),11,Ferencváros
-,FW,Tibor Kemény,5 March 1913 (aged 21),5,Ferencváros
-,MF,Gyula Lázár,24 January 1911 (aged 23),19,Ferencváros
-,FW,Imre Markos,9 June 1908 (aged 25),13,Debreceni Bocskai
-,MF,István Palotás,5 March 1908 (aged 26),4,Debreceni Bocskai
-,MF,Gyula Polgár,8 February 1912 (aged 22),5,Ferencváros
-,FW,György Sárosi,15 September 1912 (aged 21),22,Ferencváros
-,MF,Rezső Somlai,1911,0,Kispest
-,DF,László Sternberg (c),28 May 1905 (aged 28),7,Újpest
-,GK,Antal Szabó,4 September 1910 (aged 23),10,Hungária
-,FW,Gábor P. Szabó,14 October 1902 (aged 31),10,Újpest
-,MF,Antal Szalay,12 March 1912 (aged 22),8,Újpest
-,MF,György Szűcs,23 April 1912 (aged 22),3,Újpest
-,FW,István Tamássy,30 June 1906 (aged 27),1,Újpest
-,FW,Pál Teleki,5 March 1906 (aged 28),6,Debreceni Bocskai
-,FW,Géza Toldi,11 February 1909 (aged 25),21,Ferencváros
-,DF,József Vágó,30 June 1906 (aged 27),1,Debreceni Bocskai
-,FW,Jenő Vincze,20 November 1908 (aged 25),5,Debreceni Bocskai
Switzerland
No.,Pos.,Player,Date of birth (age),Caps,Club
-,FW,André Abegglen,7 March 1909 (aged 25),30,Grasshopper
-,GK,Renato Bizzozero,7 September 1912 (aged 21),,Lugano
-,FW,Joseph Bossi,29 August 1911 (aged 22),3,Bern
-,FW,Albert Büche,1911,,Nordstern Basel
-,FW,Otto Bühler,,,Grasshopper
-,MF,Ernst Frick,,,Luzern
-,DF,Louis Gobet,28 October 1908 (aged 25),,Bern
-,MF,Albert Guinchard,10 November 1914 (aged 19),2,Servette
-,FW,Erwin Hochsträsser,,,Lausanne-Sport
-,GK,Willy Huber,17 December 1913 (aged 20),,Grasshopper
-,MF,Ernst Hufschmid,4 February 1913 (aged 21),6,Basel
-,MF,Fernand Jaccard,8 October 1907 (aged 26),0,La Tour-de-Peilz
-,FW,Alfred Jaeck,2 August 1911 (aged 22),17,Basel
-,FW,Willy Jäggi,28 July 1906 (aged 27),15,Lausanne-Sport
-,FW,Leopold Kielholz,9 June 1911 (aged 22),4,Servette
-,MF,Edmond Loichot,,,Servette
-,DF,Severino Minelli (c),6 September 1909 (aged 24),27,Grasshopper
-,DF,Arnaldo Ortelli,5 August 1913 (aged 20),,Lugano
-,FW,Raymond Passello,12 January 1905 (aged 29),17,Servette
-,GK,Frank Séchehaye,3 November 1907 (aged 26),31,Servette
-,FW,Willy von Känel,30 October 1909 (aged 24),16,Bienne-Biel
-,DF,Walter Weiler,4 December 1903 (aged 30),-,Grasshopper
Sweden
No.,Pos.,Player,Date of birth (age),Caps,Club
,GK,Anders Rydberg,3 March 1903 (aged 31),18,IFK Göteborg
,GK,Eivar Widlund,15 June 1905 (aged 28),5,AIK
,DF,Otto Andersson,7 May 1910 (aged 24),9,Örgryte IS
,DF,Sven Andersson,14 February 1907 (aged 27),15,AIK
,DF,Nils Axelsson,18 January 1906 (aged 28),7,Hälsingborgs IF
,FW,Gösta Dunker,16 September 1905 (aged 28),-,Sandvikens IF
,MF,Ernst Andersson,26 March 1909 (aged 25),11,IFK Göteborg
,MF,Rune Carlsson,1 October 1909 (aged 24),5,IFK Eskilstuna
,MF,Helge Liljebjörn,16 August 1904 (aged 29),-,GAIS
,MF,Nils Rosén (c),22 May 1902 (aged 32),20,Hälsingborgs IF
,FW,Ragnar Gustavsson,28 September 1907 (aged 26),6,GAIS
,MF,Victor Carlund,5 February 1906 (aged 28),6,Örgryte IS
,FW,Sven Jonasson,9 July 1909 (aged 24),2,IF Elfsborg
,FW,Tore Keller,4 January 1905 (aged 29),18,IK Sleipner
,FW,Knut Kroon,19 June 1906 (aged 27),31,Hälsingborgs IF
,FW,Gunnar Olsson,19 July 1908 (aged 25),6,GAIS
,FW,Arvid Thörn,29 October 1906 (aged 27),2,IFK Grängesberg
,GK,Sture Hult,19 October 1910 (aged 23),-,IFK Eskilstuna
,FW,Gunnar Jansson,9 July 1909 (aged 24),1,Gefle IF
,FW,Lennart Bunke,3 April 1912 (aged 22),-,Hälsingborgs IF
,FW,Carl-Erik Holmberg,17 July 1906 (aged 27),14,Örgryte IS
,FW,Harry Lundahl,16 October 1905 (aged 28),14,IFK Eskilstuna
France
No.,Pos.,Player,Date of birth (age),Caps,Club
-,FW,Joseph Alcazar,15 June 1911 (aged 22),9,Marseille
-,FW,Alfred Aston,16 May 1912 (aged 22),4,Red Star Paris
-,MF,Georges Beaucourt,15 April 1912 (aged 22),0,Lille
-,FW,Roger Courtois,30 May 1912 (aged 21),1,Sochaux
-,GK,Robert Défossé,16 June 1909 (aged 24),8,Lille
-,MF,Edmond Delfour,1 November 1907 (aged 26),25,RC Paris
-,MF,Célestin Delmer,15 February 1907 (aged 27),12,Amiens
-,MF,Louis Gabrillargues,16 June 1914 (aged 19),0,Sete
-,DF,Joseph Gonzales,19 February 1907 (aged 27),0,Fives
-,FW,Fritz Keller,21 August 1913 (aged 20),1,Strasbourg
-,FW,Pierre Korb,20 April 1908 (aged 26),12,Mulhouse
-,FW,Lucien Laurent (c),10 December 1907 (aged 26),9,CA Paris
-,MF,Noël Lietaer,17 November 1908 (aged 25),5,Excelsior Roubaix
-,GK,René Llense,14 July 1913 (aged 20),0,Sete
-,DF,Jacques Mairesse,27 February 1905 (aged 29),5,Red Star Paris
-,DF,Étienne Mattler,25 December 1905 (aged 28),22,Sochaux
-,FW,Jean Nicolas,9 June 1913 (aged 20),11,Rouen
-,MF,Roger Rio,13 February 1913 (aged 21),10,Rouen
-,GK,Alex Thépot,30 July 1906 (aged 27),28,Red Star Paris
-,DF,Jules Vandooren,30 December 1908 (aged 25),7,Lille
-,FW,Émile Veinante,12 June 1907 (aged 26),11,RC Paris
-,MF,Georges Verriest,15 July 1909 (aged 24),4,Roubaix
Netherlands
No.,Pos.,Player,Date of birth (age),Caps,Club
-,MF,Wim Anderiesen,27 November 1903 (aged 30),20,Ajax
-,FW,Beb Bakhuys,16 April 1909 (aged 25),7,ZAC
-,FW,Jan Graafland,21 August 1909 (aged 24),0,HBS Craeyenhout
-,GK,Leo Halle,17 February 1903 (aged 31),2,Go Ahead Eagles Deventer
-,FW,Wim Langendaal,13 April 1909 (aged 25),0,Xerxes Rotterdam
-,FW,Kees Mijnders,28 September 1912 (aged 21),3,DFC Dordrecht
-,FW,Jaap Mol,3 February 1912 (aged 22),5,KFC Koog
-,MF,Toon Oprinsen,25 November 1910 (aged 23),1,NOAD Breda
-,MF,Bas Paauwe,4 October 1911 (aged 22),1,Feijenoord
-,MF,Henk Pellikaan,10 November 1910 (aged 23),10,Longa Tilburg
-,FW,Arend Schoemaker,8 November 1911 (aged 22),1,Quick Den Haag
-,FW,Kick Smit,3 November 1911 (aged 22),4,HFC Haarlem
-,GK,Gejus van der Meulen,23 January 1903 (aged 31),53,Koninklijke HFC
-,DF,Jan van Diepenbeek,5 August 1903 (aged 30),2,Ajax
-,MF,Puck van Heel (c),21 January 1904 (aged 30),41,Feijenoord
-,GK,Adri van Male,7 October 1910 (aged 23),4,Feijenoord
-,FW,Joop van Nellen,15 March 1910 (aged 24),17,DHC
-,DF,Sjef van Run,12 July 1904 (aged 29),19,PSV
-,FW,Leen Vente,14 May 1911 (aged 23),5,Neptunus Rotterdam
-,FW,Manus Vrauwdeunt,29 April 1915 (aged 19),0,Feijenoord
-,DF,Mauk Weber,1 March 1914 (aged 20),14,ADO Den Haag
-,FW,Frank Wels,21 February 1909 (aged 25),14,Unitas Gorinchem
Argentina
No.,Pos.,Player,Date of birth (age),Caps,Club
-,MF,Ernesto Albarracín,,,Club Sportivo Buenos Aires
-,DF,Ramón Astudillo,,,Colón de Santa Fe
-,DF,Ernesto Belis,1 February 1909 (aged 25),,Defensores de Belgrano
-,DF,Enrique Chimento,,,Barracas Central
-,FW,Alfredo Devincenzi (c),24 January 1911 (aged 23),,Club Atlético Estudiantil Porteño
-,GK,Héctor Freschi,22 May 1911 (aged 23),,Sarmiento de Resistencia
-,FW,Alberto Galateo,4 March 1912 (aged 22),,Unión de Santa Fe
-,GK,Ángel Grippa,,,Club Sportivo Alsina
-,FW,Roberto Irañeta,21 March 1915 (aged 19),,Gimnasia y Esgrima de Mendoza
-,FW,Luis Izzeta,,,Defensores de Belgrano
-,MF,Arcadio López,15 September 1910 (aged 23),,Club Sportivo Buenos Aires
-,MF,Alfonso Lorenzo,,,Barracas Central
-,MF,José Nehin,13 October 1905 (aged 28),,Sportivo Desamparados
-,DF,Juan Pedevilla,6 June 1909 (aged 24),,Club Atletico Estudiantil Porteño
-,FW,Francisco Pérez,,,Almagro
-,FW,Francisco Rúa,4 February 1911 (aged 23),,Sportivo Dock Sud
-,MF,Constantino Urbieta Sosa,12 August 1907 (aged 26),,Godoy Cruz
-,FW,Federico Wilde,1909,,Unión de Santa Fe
-,FW,Francisco Rúa,4 February 1911 (aged 23),,Sportivo Dock Sud
-,MF,Constantino Urbieta Sosa,12 August 1907 (aged 26),,Godoy Cruz
-,FW,Federico Wilde,1909,,Unión de Santa Fe
-,FW,Federico Wilde,1909,,Unión de Santa Fe
Romania
No.,Pos.,Player,Date of birth (age),Caps,Club
-,DF,Gheorghe Albu,12 September 1909 (aged 24),20,Venus București
-,FW,Iuliu Barátky,14 May 1910 (aged 24),1,Crișana Oradea
-,FW,Silviu Bindea,24 October 1912 (aged 21),8,Ripensia Timișoara
-,FW,Iuliu Bodola,26 February 1912 (aged 22),20,CAO Oradea
-,DF,Rudolf Bürger,31 October 1908 (aged 25),14,Ripensia Timișoara
-,FW,Gheorghe Ciolac,10 August 1908 (aged 25),14,Ripensia București
-,DF,Alexandru Cuedan,26 September 1910 (aged 23),0,Rapid București
-,MF,Vasile Deheleanu,12 August 1910 (aged 23),1,Ripensia București
-,FW,Ștefan Dobay,26 September 1909 (aged 24),12,Ripensia Timișoara
-,MF,Gusztáv Juhász,19 December 1911 (aged 22),0,Juventus București
-,FW,István Klimek,,0,ILSA Timișoara
-,MF,Rudolf Kotormány,23 January 1911 (aged 23),6,Ripensia Timișoara
-,GK,Stanislau Konrad,,0,CA Timișoara
-,FW,Nicolae Kovács,29 December 1911 (aged 22),19,CAO Oradea
-,MF,József Moravetz,14 January 1911 (aged 23),8,RGM Timișoara
-,GK,Adalbert Püllöck,6 April 1907 (aged 27),5,Crișana Oradea
-,FW,Sándor Schwartz,18 January 1909 (aged 25),4,Ripensia Timișoara
-,FW,Grațian Sepi,30 December 1910 (aged 23),18,Universitatea Cluj
-,DF,Lazăr Sfera,29 April 1909 (aged 25),2,Venus București
-,DF,Emerich Vogl,12 August 1905 (aged 28),27,Juventus București
-,MF,Károly Weichelt,2 March 1906 (aged 28),1,CAO Oradea
-,GK,Vilmos Zombori,11 January 1906 (aged 28),3,Ripensia Timișoara
Egypt
No.,Pos.,Player,Date of birth (age),Caps,Club
-,MF,Mohammed Bakhati,,1,Zamalek Mokhtalat
-,MF,Hassan El-Far,1 January 1913 (aged 21),2,Zamalek Mokhtalat
-,FW,Mahmoud El-Nigero,,0,Cairo Shourta Police
-,DF,Ali El-Kaf,15 June 1906 (aged 27),2,Zamalek Mokhtalat
-,DF,Yacout El-Soury,,4,Al-Ittihad
-,FW,Mahmoud 'El-Tetsh' Mokhtar,23 December 1907 (aged 26),5,Al-Ahly National SC
-,MF,Hemli Moustafa,11 June 1911 (aged 22),0,Al-Masry AC Port Said
-,GK,Aziz Fahmy,,1,Al-Ahly National SC
-,FW,Abdelrahman Fawzi,11 August 1909 (aged 24),2,Al-Masry AC Port Said
-,MF,Ahmed Halim Ibrahim,10 February 1910 (aged 24),,Zamalek Mokhtalat
-,DF,Hamidu,,2,Al-Olympi Alexandria
-,FW,Mohammed Hassan,5 February 1905 (aged 29),-,Al-Masry AC Port Said
-,MF,Hafez Kasseb,,0,Al-Olympi Alexandria
-,FW,Mohamed Latif,23 October 1909 (aged 24),2,Zamalek Mokhtalat
-,FW,Hany Kamel Mahmoud,,0,Al-Ahly National SC
-,GK,Mustafa Mansour,2 August 1914 (aged 19),,Al-Ahly National SC
-,FW,Kamel Mosaoud,2 August 1914 (aged 19),,Al-Ahly National SC
-,MF,Ismail Rafaat,1 January 1908 (aged 26),0,Zamalek Mokhtalat
-,MF,Hassan Raghab,1 January 1909 (aged 25),2,Union Recreation Ithad
-,FW,Mostafa Taha,23 March 1910 (aged 24),,Zamalek Mokhtalat
-,MF,Ismail Rafaat,1 January 1908 (aged 26),0,Zamalek Mokhtalat
-,MF,Hassan Raghab,1 January 1909 (aged 25),2,Union Recreation Ithad
Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
-,MF,Ariel,22 February 1910 (aged 24),,Botafogo
-,FW,Almeida,2 December 1910 (aged 23),,EC Bahia
-,FW,Armandinho,6 March 1911 (aged 23),,São Paulo da Floresta
-,FW,Áttila[1],16 December 1910 (aged 23),,Botafogo
-,MF,Canalli,12 March 1907 (aged 27),,Botafogo
-,FW,Carvalho Leite,25 June 1912 (aged 21),,Botafogo
-,FW,Gabriel Fernando Bile,1 January 1900 (aged 34),,Ypiranga Futebol Clube
-,GK,Germano,14 March 1911 (aged 23),,Botafogo
-,FW,Leônidas,6 September 1913 (aged 20),,Vasco da Gama
-,FW,Luisinho[1],29 March 1911 (aged 23),,São Paulo da Floresta
-,DF,Luiz Luz,29 November 1909 (aged 24),,Americano-RS
-,MF,Martim,2 March 1911 (aged 23),,Botafogo
-,DF,Octacílio,21 November 1909 (aged 24),,Botafogo
-,MF,Pamplona,24 March 1904 (aged 30),,Botafogo
-,FW,Patesko,12 November 1910 (aged 23),,Nacional
-,GK,Pedrosa,8 July 1913 (aged 20),,Botafogo
-,DF,Sylvio Hoffman,15 May 1908 (aged 26),,São Paulo da Floresta
-,MF,Tinoco,2 December 1904 (aged 29),,Vasco da Gama
-,FW,Waldemar de Brito[1],17 May 1913 (aged 21),,São Paulo da Floresta
-,MF,Waldyr[1],21 March 1912 (aged 22),,Botafogo
-,FW,Waldemar de Brito[1],17 May 1913 (aged 21),,São Paulo da Floresta
-,MF,Waldyr[1],21 March 1912 (aged 22),,Botafogo
Belgium
No.,Pos.,Player,Date of birth (age),Caps,Club
-,GK,Arnold Badjou,26 June 1909 (aged 24),12,Daring Club de Bruxelles Societe Royale
-,MF,Désiré Bourgeois,13 December 1908 (aged 25),2,Royal FC Malinois
-,FW,Jean Brichaut,29 July 1911 (aged 22),11,Royal Standard Club Liège
-,FW,Jean Capelle,26 October 1913 (aged 20),14,Royal Standard Club Liège
-,MF,Jean Claessens,18 June 1908 (aged 25),12,R. Union Saint-Gilloise
-,FW,François Devries,21 August 1913 (aged 20),0,Royal Antwerp
-,FW,Laurent Grimmonprez,14 December 1902 (aged 31),9,Royal Racing Club de Gand
-,MF,August Hellemans,14 September 1907 (aged 26),28,Royal FC Malinois
-,FW,Albert Heremans,13 April 1906 (aged 28),6,Daring Club de Bruxelles Societe Royale
-,DF,Constant Joacim,3 March 1908 (aged 26),2,Royal Berchem Sport
-,FW,Robert Lamoot,18 March 1911 (aged 23),1,Daring Club de Bruxelles Societe Royale
-,FW,Francois Ledent,4 July 1908 (aged 25),-,Royal Standard Club Liège
-,DF,Jules Pappaert,5 November 1905 (aged 28),4,R. Union Saint-Gilloise
-,MF,Frans Peeraer,15 February 1913 (aged 21),2,Royal Antwerp
-,MF,Victor Putmans,29 May 1914 (aged 19),-,Royal Union Hutoise
-,MF,Rene Simons,10 April 1904 (aged 30),-,KSK Liersche
-,DF,Philibert Smellinckx,17 January 1911 (aged 23),5,R. Union Saint-Gilloise
-,MF,Joseph Van Ingelgem,23 January 1912 (aged 22),11,Daring Club de Bruxelles Societe Royale
-,GK,André Vandeweyer,21 June 1909 (aged 24),4,R. Union Saint-Gilloise
-,FW,Louis Versyp,5 December 1908 (aged 25),33,Royal FC Brugeois
-,FW,Bernard Voorhoof,10 May 1910 (aged 24),31,KSK Liersche
-,MF,Félix Welkenhuysen (c),12 December 1908 (aged 25),3,R. Union Saint-Gilloise
United States
No.,Pos.,Player,Date of birth (age),Caps,Club
-,MF,Tom Amrhein,1911,0,Baltimore Canton
-,DF,Ed Czerkiewicz,8 July 1912 (aged 21),1,Pawtucket Rangers
-,FW,Walter Dick,20 September 1905 (aged 28),0,Pawtucket Rangers
-,FW,Aldo Donelli,22 July 1907 (aged 26),1,Pittsburgh Curry Silver Tops
-,MF,Bill Fiedler,1910,0,Philadelphia German-Americans
-,MF,Tom Florie,6 September 1897 (aged 36),7,Pawtucket Rangers
-,MF,Jimmy Gallagher,7 June 1901 (aged 32),7,Cleveland Slavia
-,MF,Billy Gonsalves,10 August 1908 (aged 25),5,"St. Louis Stix, Baer & Fuller"
-,DF,Al Harker,11 April 1910 (aged 24),0,Philadelphia German-Americans
-,GK,Julius Hjulian,15 March 1903 (aged 31),1,Chicago Wonderbolts
-,MF,William Lehman,20 December 1901 (aged 32),1,"St. Louis Stix, Baer & Fuller"
-,MF,Tom Lynch,,0,Brooklyn Celtic
-,DF,Joe Martinelli,1916,0,Pawtucket Rangers
-,FW,Willie McLean,1904,1,"St. Louis Stix, Baer & Fuller"
-,DF,George Moorhouse,4 May 1901 (aged 33),6,New York Americans
-,FW,Werner Nilsen,24 February 1904 (aged 30),1,"St. Louis Stix, Baer & Fuller"
-,MF,Peter Pietras,21 April 1908 (aged 26),1,Philadelphia German-Americans
-,DF,Herman Rapp,1907,0,Philadelphia German-Americans
-,FW,Francis Ryan,10 January 1908 (aged 26),2,Philadelphia German-Americans
-,MF,Peter Pietras,21 April 1908 (aged 26),1,Philadelphia German-Americans
-,DF,Herman Rapp,1907,0,Philadelphia German-Americans
-,FW,Francis Ryan,10 January 1908 (aged 26),2,Philadelphia German-Americans
